[2025-10-14T23:12:22.966+0530][5.818s][info][gc,phases   ] GC(8)   Other: 0.18ms
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,heap     ] GC(8) Eden regions: 294->0(306)
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,heap     ] GC(8) Survivor regions: 1->1(37)
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,heap     ] GC(8) Old regions: 0->0
[2025-10-14T23:12:22.966+0530][5.818s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[2025-10-14T23:12:22.966+0530][5.819s][info][gc,metaspace] GC(8) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:22.966+0530][5.819s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 294M->0M(512M) 2.341ms
[2025-10-14T23:12:22.966+0530][5.819s][info][gc,cpu      ] GC(8) User=0.12s Sys=0.00s Real=0.00s
[2025-10-14T23:12:24.398+0530][7.251s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:24.398+0530][7.251s][info][gc,task     ] GC(9) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.41ms
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.19ms
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 0.92ms
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.43ms
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,phases   ] GC(9)   Other: 0.15ms
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,heap     ] GC(9) Eden regions: 306->0(306)
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,heap     ] GC(9) Survivor regions: 1->1(39)
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,heap     ] GC(9) Old regions: 0->0
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,metaspace] GC(9) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:24.401+0530][7.253s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 306M->0M(512M) 2.430ms
[2025-10-14T23:12:24.401+0530][7.253s][info][gc,cpu      ] GC(9) User=0.00s Sys=0.00s Real=0.00s
